file,machine,np_requested,np_effective,loop,ffi,previous_status,status,real_seconds,elapsed_max,family_sum,log
2dd3.plcr,macstudio,32,32,1,0,TIMEOUT,TIMEOUT,500.62,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/2dd3-np32-loop1.out
2dd4.plcr,macstudio,32,32,1,0,TIMEOUT,TIMEOUT,500.9,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/2dd4-np32-loop1.out
BruteTest.plcr,macstudio,32,1,1,1,CONSTANT_TABLE_FULL,CONSTANT_TABLE_FULL,21.21,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/BruteTest-np1-ffi-loop1.out
d4double_f.plcr,macstudio,32,1,1,1,TIMEOUT,OK,447.55,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/d4double_f-np1-ffi-loop1.out
d4triple_f.plcr,macstudio,32,1,1,1,INTERRUPTED,TIMEOUT,500.53,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/d4triple_f-np1-ffi-loop1.out
dcm2005.plcr,macstudio,32,1,1,1,CONSTANT_TABLE_FULL,CONSTANT_TABLE_FULL,29.78,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/dcm2005-np1-ffi-loop1.out
difficult.plcr,macstudio,32,32,1,0,TIMEOUT,TIMEOUT,500.66,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/difficult-np32-loop1.out
fact.plcr,macstudio,32,32,1,0,SYNTAX_ERROR,SYNTAX_ERROR,510.02,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/fact-np32-loop1.out
kdd.plcr,macstudio,32,32,1,0,TIMEOUT,TIMEOUT,500.51,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/kdd-np32-loop1.out
ki.plcr,macstudio,32,32,1,0,TIMEOUT,OK,2.08,0,4,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/ki-np32-loop1.out
matrixnew.plcr,macstudio,32,1,1,1,SYNTAX_ERROR,SYNTAX_ERROR,510.02,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/matrixnew-np1-ffi-loop1.out
scan.plcr,macstudio,32,32,1,0,TIMEOUT,OK,2.17,0,23,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/scan-np32-loop1.out
Crypto/brute.plcr,macstudio,1,1,1,1,TIMEOUT,TIMEOUT,500.54,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/nonpassed-recheck-20260625-timeout500-local-no-dd5/Crypto-brute-np1-ffi-loop1.out
